MM	DD	Time	WDIR	WSPD	WVHT	DPD	APD	MWD	PRES
09	12	11:40 am	N	15.5	19.4	NaN	NaN	NaN	NaN	29.96
09	12	11:30 am	N	15.5	19.4	NaN	NaN	NaN	NaN	29.96
09	12	11:20 am	NE	19.4	31.1	NaN	NaN	NaN	NaN	29.97
09	12	11:10 am	NE	19.4	35.0	NaN	NaN	NaN	NaN	29.97
09	12	11:00 am	NE	21.4	31.1	NaN	NaN	NaN	NaN	29.98
09	12	10:50 am	NNE	19.4	23.3	12.1	16	8.5	ESE	29.97
09	12	10:40 am	NNE	17.5	23.3	NaN	NaN	NaN	NaN	29.97
09	12	10:30 am	NNE	19.4	25.3	NaN	NaN	NaN	NaN	29.97
09	12	10:20 am	NNE	17.5	23.3	NaN	NaN	NaN	NaN	29.97
09	12	10:10 am	NNE	17.5	23.3	NaN	NaN	NaN	NaN	29.97
09	12	10:00 am	NNE	17.5	23.3	NaN	NaN	NaN	NaN	29.97
09	12	9:50 am	NNE	17.5	23.3	10.2	10	7.8	ENE	29.97
09	12	9:40 am	NNE	17.5	23.3	NaN	NaN	NaN	NaN	29.97
09	12	9:30 am	NE	17.5	23.3	NaN	NaN	NaN	NaN	29.97
09	12	9:20 am	NE	17.5	23.3	NaN	NaN	NaN	NaN	29.97
09	12	9:10 am	NE	17.5	21.4	NaN	NaN	NaN	NaN	29.97
09	12	9:00 am	NNE	17.5	21.4	NaN	NaN	NaN	NaN	29.97
09	12	8:50 am	NNE	17.5	21.4	9.2	11	7.3	E	29.97
09	12	8:40 am	NNE	17.5	23.3	NaN	NaN	NaN	NaN	29.97
09	12	8:30 am	NE	17.5	21.4	NaN	NaN	NaN	NaN	29.97
09	12	8:20 am	NE	17.5	21.4	NaN	NaN	NaN	NaN	29.97
09	12	8:10 am	NE	17.5	21.4	NaN	NaN	NaN	NaN	29.97
09	12	8:00 am	NE	17.5	23.3	NaN	NaN	NaN	NaN	29.96
09	12	7:50 am	NE	19.4	23.3	9.2	12	7.7	E	29.97
09	12	7:40 am	NE	19.4	23.3	NaN	NaN	NaN	NaN	29.97
09	12	7:30 am	NE	17.5	21.4	NaN	NaN	NaN	NaN	29.97
09	12	7:20 am	NE	17.5	21.4	NaN	NaN	NaN	NaN	29.97
09	12	7:10 am	NE	17.5	21.4	NaN	NaN	NaN	NaN	29.97
09	12	7:00 am	NE	17.5	21.4	NaN	NaN	NaN	NaN	29.97
09	12	6:50 am	NE	15.5	21.4	8.9	11	7.7	E	29.96
09	12	6:40 am	NE	15.5	19.4	8.9	NaN	7.7	E	29.96
09	12	6:30 am	NE	15.5	21.4	NaN	NaN	NaN	NaN	29.97
09	12	6:20 am	NE	17.5	21.4	NaN	NaN	NaN	NaN	29.97
09	12	6:10 am	NE	17.5	21.4	NaN	NaN	NaN	NaN	29.96
09	12	6:00 am	NE	15.5	19.4	NaN	NaN	NaN	NaN	29.96
09	12	5:50 am	NE	15.5	19.4	8.5	11	7.5	E	29.96
09	12	5:40 am	NE	15.5	19.4	8.5	NaN	7.5	E	29.96
09	12	5:30 am	NE	15.5	19.4	NaN	NaN	NaN	NaN	29.96
09	12	5:20 am	NE	15.5	19.4	NaN	NaN	NaN	NaN	29.96
09	12	5:10 am	NE	17.5	19.4	NaN	NaN	NaN	NaN	29.96
09	12	5:00 am	NE	15.5	19.4	NaN	NaN	NaN	NaN	29.96
09	12	4:50 am	NE	15.5	19.4	7.5	11	7.6	ENE	29.96
09	12	4:40 am	NE	15.5	19.4	NaN	NaN	NaN	NaN	29.97
09	12	4:30 am	NE	15.5	17.5	NaN	NaN	NaN	NaN	29.97
09	12	4:20 am	NE	15.5	19.4	NaN	NaN	NaN	NaN	29.97
09	12	4:10 am	NE	15.5	19.4	NaN	NaN	NaN	NaN	29.97
09	12	4:00 am	NE	15.5	19.4	NaN	NaN	NaN	NaN	29.98
09	12	3:50 am	NE	13.6	17.5	8.5	11	8.3	E	29.97
09	12	3:40 am	NE	13.6	17.5	NaN	NaN	NaN	NaN	29.97
09	12	3:30 am	NE	13.6	17.5	NaN	NaN	NaN	NaN	29.97
09	12	3:20 am	NE	13.6	17.5	NaN	NaN	NaN	NaN	29.98
09	12	3:10 am	NE	13.6	17.5	NaN	NaN	NaN	NaN	29.98
09	12	3:00 am	NE	11.7	15.5	NaN	NaN	NaN	NaN	29.98
09	12	2:50 am	NE	13.6	15.5	7.9	11	8.1	ENE	29.98
09	12	2:40 am	NE	11.7	15.5	NaN	NaN	NaN	NaN	29.98
09	12	2:30 am	NE	11.7	15.5	NaN	NaN	NaN	NaN	29.99
09	12	2:20 am	NE	11.7	15.5	NaN	NaN	NaN	NaN	29.99
09	12	2:10 am	NE	13.6	15.5	NaN	NaN	NaN	NaN	30.00
09	12	2:00 am	NE	13.6	15.5	NaN	NaN	NaN	NaN	30.00
09	12	1:50 am	NE	13.6	15.5	8.9	10	8.6	ENE	30.01
09	12	1:40 am	NE	11.7	17.5	NaN	NaN	NaN	NaN	30.01
09	12	1:30 am	NE	9.7	13.6	NaN	NaN	NaN	NaN	30.01
09	12	1:20 am	NE	9.7	13.6	NaN	NaN	NaN	NaN	30.01
09	12	1:10 am	NE	11.7	13.6	NaN	NaN	NaN	NaN	30.02
09	12	1:00 am	NE	9.7	13.6	NaN	NaN	NaN	NaN	30.02
09	12	12:50 am	NE	11.7	13.6	7.5	11	8.3	ENE	30.03
09	12	12:40 am	NE	11.7	13.6	NaN	NaN	NaN	NaN	30.03
09	12	12:30 am	ENE	11.7	15.5	NaN	NaN	NaN	NaN	30.03
09	12	12:20 am	NE	11.7	13.6	NaN	NaN	NaN	NaN	30.02
09	12	12:10 am	NE	11.7	13.6	NaN	NaN	NaN	NaN	30.02
09	12	12:00 am	NE	11.7	15.5	NaN	NaN	NaN	NaN	30.02
09	11	11:50 pm	NE	11.7	13.6	7.2	11	8.2	ENE	30.02
09	11	11:40 pm	ENE	11.7	13.6	NaN	NaN	NaN	NaN	30.03
09	11	11:30 pm	ENE	11.7	15.5	NaN	NaN	NaN	NaN	30.03
09	11	11:20 pm	ENE	11.7	15.5	NaN	NaN	NaN	NaN	30.03
09	11	11:10 pm	ENE	11.7	15.5	NaN	NaN	NaN	NaN	30.02
09	11	11:00 pm	ENE	11.7	15.5	NaN	NaN	NaN	NaN	30.03
09	11	10:50 pm	ENE	11.7	15.5	7.2	11	8.1	E	30.03
09	11	10:40 pm	ENE	11.7	15.5	NaN	NaN	NaN	NaN	30.02
09	11	10:30 pm	ENE	11.7	15.5	NaN	NaN	NaN	NaN	30.02
09	11	10:20 pm	ENE	11.7	15.5	NaN	NaN	NaN	NaN	30.02
09	11	10:10 pm	ENE	11.7	15.5	NaN	NaN	NaN	NaN	30.02
09	11	10:00 pm	NE	11.7	15.5	NaN	NaN	NaN	NaN	30.02
09	11	9:50 pm	NE	11.7	15.5	6.9	11	8.2	ENE	30.02
09	11	9:40 pm	NE	11.7	13.6	NaN	NaN	NaN	NaN	30.02
09	11	9:30 pm	ENE	11.7	13.6	NaN	NaN	NaN	NaN	30.02
09	11	9:20 pm	ENE	11.7	13.6	NaN	NaN	NaN	NaN	30.02
09	11	9:10 pm	ENE	9.7	13.6	NaN	NaN	NaN	NaN	30.01
09	11	9:00 pm	ENE	9.7	13.6	NaN	NaN	NaN	NaN	30.01
09	11	8:50 pm	ENE	9.7	15.5	6.9	11	8.1	ENE	30.01
09	11	8:40 pm	ENE	9.7	11.7	NaN	NaN	NaN	NaN	30.01
09	11	8:30 pm	ENE	9.7	11.7	NaN	NaN	NaN	NaN	NaN
09	11	8:20 pm	ENE	9.7	11.7	NaN	NaN	NaN	NaN	30.00
09	11	8:10 pm	ENE	9.7	11.7	NaN	NaN	NaN	NaN	30.00
09	11	8:00 pm	ENE	9.7	11.7	NaN	NaN	NaN	NaN	30.00
09	11	7:50 pm	ENE	7.8	11.7	6.6	11	8.2	ENE	30.00
09	11	7:40 pm	ENE	9.7	11.7	6.6	NaN	8.2	ENE	30.00
09	11	7:30 pm	ENE	9.7	13.6	NaN	NaN	NaN	NaN	30.00
09	11	7:20 pm	ENE	9.7	13.6	NaN	NaN	NaN	NaN	30.00
09	11	7:10 pm	ENE	9.7	13.6	NaN	NaN	NaN	NaN	30.00
09	11	7:00 pm	E	9.7	13.6	NaN	NaN	NaN	NaN	30.00
09	11	6:50 pm	ENE	9.7	13.6	7.2	11	8.5	ENE	30.00
09	11	6:40 pm	E	9.7	13.6	NaN	NaN	NaN	NaN	30.00
09	11	6:30 pm	E	9.7	13.6	NaN	NaN	NaN	NaN	30.00
09	11	6:20 pm	E	9.7	11.7	NaN	NaN	NaN	NaN	30.00
09	11	6:10 pm	E	9.7	11.7	NaN	NaN	NaN	NaN	30.00
09	11	6:00 pm	E	9.7	13.6	NaN	NaN	NaN	NaN	30.00
09	11	5:50 pm	E	9.7	11.7	5.9	11	8.1	E	29.99
09	11	5:40 pm	E	7.8	11.7	NaN	NaN	NaN	NaN	29.99
09	11	5:30 pm	E	7.8	11.7	NaN	NaN	NaN	NaN	29.99
09	11	5:20 pm	E	3.9	5.8	NaN	NaN	NaN	NaN	30.00
09	11	5:10 pm	E	5.8	15.5	NaN	NaN	NaN	NaN	30.00
09	11	5:00 pm	ENE	7.8	15.5	NaN	NaN	NaN	NaN	30.00
09	11	4:50 pm	E	5.8	9.7	6.6	10	8.3	ENE	30.01
09	11	4:40 pm	ENE	5.8	9.7	NaN	NaN	NaN	NaN	30.01
09	11	4:30 pm	ENE	5.8	9.7	NaN	NaN	NaN	NaN	30.01
09	11	4:20 pm	E	5.8	9.7	NaN	NaN	NaN	NaN	30.02
09	11	4:10 pm	E	5.8	9.7	NaN	NaN	NaN	NaN	30.03
09	11	4:00 pm	E	7.8	11.7	NaN	NaN	NaN	NaN	30.03
09	11	3:50 pm	ENE	7.8	9.7	6.2	11	8.0	E	30.03
09	11	3:40 pm	E	7.8	9.7	NaN	NaN	NaN	NaN	30.03
09	11	3:30 pm	ENE	5.8	7.8	NaN	NaN	NaN	NaN	30.03
09	11	3:20 pm	ENE	5.8	9.7	NaN	NaN	NaN	NaN	30.03
09	11	3:10 pm	E	7.8	13.6	NaN	NaN	NaN	NaN	30.04
09	11	3:00 pm	E	5.8	9.7	NaN	NaN	NaN	NaN	30.04
09	11	2:50 pm	E	5.8	9.7	6.9	11	8.1	E	30.04
09	11	2:40 pm	E	5.8	7.8	NaN	NaN	NaN	NaN	30.05
09	11	2:30 pm	E	5.8	9.7	NaN	NaN	NaN	NaN	30.05
09	11	2:20 pm	E	5.8	7.8	NaN	NaN	NaN	NaN	30.05
09	11	2:10 pm	ESE	5.8	9.7	NaN	NaN	NaN	NaN	30.05
09	11	2:00 pm	ESE	5.8	9.7	NaN	NaN	NaN	NaN	30.06
09	11	1:50 pm	ESE	7.8	9.7	6.6	11	8.1	E	30.06
09	11	1:40 pm	ESE	7.8	9.7	NaN	NaN	NaN	NaN	30.06
09	11	1:30 pm	ESE	5.8	9.7	NaN	NaN	NaN	NaN	30.06
09	11	1:20 pm	ESE	5.8	9.7	NaN	NaN	NaN	NaN	30.06
09	11	1:10 pm	E	7.8	11.7	NaN	NaN	NaN	NaN	30.07
09	11	1:00 pm	ESE	7.8	11.7	NaN	NaN	NaN	NaN	30.06
09	11	12:50 pm	ESE	7.8	11.7	6.6	10	8.5	ENE	30.06
09	11	12:40 pm	SSE	9.7	19.4	NaN	NaN	NaN	NaN	30.06
09	11	12:30 pm	E	7.8	13.6	NaN	NaN	NaN	NaN	30.06
09	11	12:20 pm	E	3.9	7.8	NaN	NaN	NaN	NaN	30.06
09	11	12:10 pm	ENE	1.9	3.9	NaN	NaN	NaN	NaN	30.06
09	11	12:00 pm	E	5.8	11.7	NaN	NaN	NaN	NaN	30.06
09	11	11:50 am	E	13.6	17.5	7.2	10	8.7	ENE	30.06