year,index
1900,8.255
1901,60.625
1902,25.685
1903,8.965
1904,0.71
1905,1.995
1906,4.455
1907,5.785
1908,10.46
1909,21.165
1910,29.015
1911,27.935
1912,2.205
1913,40.945
1914,33.125
1915,27.305
1916,49.52
1917,7.385
1918,16.505
1919,18.225
1920,12.29
1921,29.285
1922,26.675
1923,11.55
1924,9.83
1925,19.38
1926,4.75
1927,19.315
1928,7.12
1929,8.955
1930,71.74
1931,31.95
1932,7.06
1933,37.225
1934,50.09
1935,9.905
1936,72.27
1937,17.94
1938,10.135
1939,10.245
1940,28.86
1941,27.455
1942,2.16
1943,9.9
1944,20.365
1945,8.465
1946,19.53
1947,29.945
1948,9.215
1949,13.11
1950,7.55
1951,11.175
1952,11.515
1953,27.635
1954,24.715
1955,30.155
1956,5.315
1957,5.805
1958,22.565
1959,14.515
1960,2.135
1961,4.97
1962,9.62
1963,4.235
1964,15.77
1965,3.265
1966,14.925
1967,11.21
1968,5.275
1969,13.71
1970,18.91
1971,21.075
1972,4.97
1973,10.27
1974,27.94
1975,23.835
1976,38.635
1977,14.03
1978,4.56
1979,12.63
1980,31.29
1981,9.395
1982,7.035
1983,45.93
1984,24.735
1985,9.225
1986,2.06
1987,15.825
1988,44.88
1989,9.265
1990,4.58
1991,28.095
1992,21.715
1993,34.235
1994,2.34
1995,6.045
1996,8.43
1997,9.785
1998,6.88
1999,16.85
2000,9.725
2001,8.885
2002,20.75
2003,28.395
2004,2.515
2005,10.515
2006,15.675
2007,34.62
2008,8.125
2009,3.885
2010,18.34
2011,27.415
2012,59.27
2013,25.715
2014,7.955
2015,4.335
2016,8.815
2017,13.095
2018,2.235